year,week,Rank,LW,Release,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks,Distributor
2024,4,62,56,The Shift,"$4,225",-30%,12,-3,$352,"$12,115,432",9,Angel Studios
2024,4,63,57,The Oath,"$3,687",+3.6%,4,-1,$921,"$493,050",8,Freestyle Releasing
2024,4,64,61,Peeping Tom2023 Re-release,"$3,671",+475.4%,2,-,"$1,835","$35,801",14,N/A
2024,4,65,54,Household Saints2024 Re-release,"$3,362",-48.1%,3,-1,"$1,120","$21,163",3,Kino Lorber
2024,4,66,51,Inshallah a Boy,"$3,301",-62.5%,2,-2,"$1,650","$21,164",3,Greenwich Entertainment
2024,4,67,49,Salaar,"$2,265",-76.9%,1,-3,"$2,265","$8,929,282",6,N/A
2024,4,68,46,Animal,"$1,728",-85.5%,2,-3,$864,"$15,004,482",9,N/A
2024,4,69,53,Pasang: In the Shadow of Everest,"$1,527",-82.2%,1,-1,"$1,527","$10,690",2,Slice of Pie
2024,4,70,48,Menus-Plaisirs - Les Troisgros,"$1,042",-90.1%,3,-8,$347,"$126,908",11,Zipporah Films
2024,4,71,60,The Unknown Country,$863,+19.9%,1,-,$863,"$68,890",27,Music Box Films
2024,4,72,62,Godard Cinema,$289,+13.3%,2,+1,$144,"$22,757",7,Kino Lorber
2024,5,1,-,Argylle,"$22,314,145",-,"3,605",-,"$6,189","$22,314,145",1,Universal Pictures International (UPI)
2024,5,2,15,The Chosen: S4 Episodes 1-3,"$8,024,605",+459.5%,"2,280",+73,"$3,519","$9,457,822",2,Fathom Events
2024,5,3,1,The Beekeeper,"$7,122,476",-23.2%,"3,277",-60,"$2,173","$51,264,852",4,Metro-Goldwyn-Mayer (MGM)
2024,5,4,3,Wonka,"$5,770,651",-18.6%,"2,901",-113,"$1,989","$202,127,023",8,Warner Bros.
2024,5,5,5,Migration,"$5,060,160",-15.2%,"2,830",-140,"$1,788","$107,129,445",7,Universal Pictures
2024,5,6,2,Mean Girls,"$4,858,306",-45.3%,"3,107",-437,"$1,563","$67,249,344",4,Paramount Pictures
2024,5,7,4,Anyone But You,"$4,642,249",-27.3%,"2,619",-266,"$1,772","$77,423,903",7,Columbia Pictures
2024,5,8,8,American Fiction,"$3,328,977",-11.6%,"1,902",+200,"$1,750","$16,040,482",8,Metro-Goldwyn-Mayer (MGM)
2024,5,9,6,Poor Things,"$3,095,226",-28.2%,"1,950",-350,"$1,587","$29,151,449",9,Searchlight Pictures
2024,5,10,9,Aquaman and the Lost Kingdom,"$2,477,974",-29%,"1,742",-376,"$1,422","$121,251,593",7,Warner Bros.
2024,5,11,10,The Boys in the Boat,"$2,019,303",-31.1%,"1,526",-343,"$1,323","$50,201,691",7,-
2024,5,12,11,Night Swim,"$1,847,555",-28.7%,"1,700",-568,"$1,086","$29,143,295",5,Universal Pictures International (UPI)
2024,5,13,14,The Zone of Interest,"$1,740,849",+11.1%,594,+277,"$2,930","$5,227,347",9,A24
2024,5,14,13,Origin,"$943,764",-46.3%,631,-33,"$1,495","$3,740,192",9,-
2024,5,15,16,The Iron Claw,"$863,163",-37.5%,634,-292,"$1,361","$34,414,681",7,A24
2024,5,16,19,The Boy and the Heron,"$645,372",-30.6%,394,-216,"$1,638","$45,151,746",9,GKIDS
2024,5,17,-,Jungle Bunch: Operation Meltdown,"$548,010",-,"1,036",-,$528,"$548,010",1,Viva Pictures
2024,5,18,12,I.S.S.,"$433,806",-76.6%,814,"-1,688",$532,"$6,490,943",3,Bleecker Street Media
2024,5,19,-,Scrambled,"$387,917",-,762,-,$509,"$387,917",1,Lionsgate Films
2024,5,20,21,All of Us Strangers,"$355,532",-45.8%,150,-125,"$2,370","$3,642,696",7,Searchlight Pictures
2024,5,21,17,Oppenheimer,"$314,025",-77.1%,579,-689,$542,"$328,843,320",29,Universal Pictures
2024,5,22,22,The Book of Clarence,"$276,161",-53.1%,231,-438,"$1,195","$5,988,513",4,Sony Pictures Releasing
2024,5,23,20,The Holdovers,"$272,020",-64.3%,562,-708,$484,"$19,859,035",15,Focus Features
2024,5,24,23,The Color Purple,"$265,235",-54.2%,308,-195,$861,"$60,418,857",7,Warner Bros.
2024,5,25,26,Trolls Band Together,"$252,025",-18.1%,293,-59,$860,"$102,553,480",12,Universal Pictures
2024,5,26,25,Anatomy of a Fall,"$228,729",-27.1%,220,-160,"$1,039","$4,525,659",17,-
2024,5,27,-,The Promised Land,"$195,202",-,192,-,"$1,016","$195,202",1,Magnolia Pictures
2024,5,28,30,Wish,"$104,429",-24.8%,130,-25,$803,"$63,646,254",12,Walt Disney Studios Motion Pictures
2024,5,29,28,Ferrari,"$85,627",-53.4%,103,-67,$831,"$18,505,282",7,Neon
2024,5,30,-,Perfect Days,"$83,908",-,6,-,"$13,984","$83,908",1,-
2024,5,31,-,Fitting In,"$83,895",-,185,-,$453,"$83,895",1,Blue Fox Entertainment
2024,5,32,29,Past Lives,"$77,368",-44.8%,185,-144,$418,"$11,275,836",36,A24
2024,5,33,24,Killers of the Flower Moon,"$69,210",-79.9%,286,-655,$241,"$67,798,988",16,Paramount Pictures
2024,5,34,35,The Teachers' Lounge,"$61,210",-12.3%,35,+6,"$1,748","$275,885",7,Sony Pictures Releasing
2024,5,35,32,Driving Madeleine,"$58,768",-37.8%,61,-16,$963,"$262,355",4,Cohen Media Group
2024,5,36,31,Freud's Last Session,"$40,713",-68.3%,66,-163,$616,"$844,715",7,Sony Pictures Releasing
2024,5,37,42,Anselm,"$39,770",+87.2%,12,-2,"$3,314","$423,795",9,Janus Films
2024,5,38,36,Sometimes I Think About Dying,"$32,896",-23.6%,11,+9,"$2,990","$75,966",2,Oscilloscope
2024,5,39,39,The Sweet East,"$25,792",-8.3%,9,+6,"$2,865","$193,968",10,Utopia
2024,5,40,40,Napoleon,"$19,043",-23.4%,19,-37,"$1,002","$61,512,606",12,Columbia Pictures
2024,5,41,37,Alienoid: The Return to the Future,"$15,017",-64.4%,29,-,$517,"$57,195",2,Well Go USA Entertainment
2024,5,42,44,Hundreds of Beavers,"$13,016",-28.7%,6,-,"$2,169","$31,259",2,SRH
2024,5,43,43,I Did It My Way,"$12,531",-37.3%,13,-,$963,"$196,305",4,Well Go USA Entertainment
2024,5,44,47,Inside the Yellow Cocoon Shell,"$11,803",-26.2%,7,+1,"$1,686","$56,583",3,Kino Lorber
2024,5,45,-,Bushman2024 Re-release,"$10,379",-,3,-,"$3,459","$10,379",1,Kino Lorber
2024,5,46,34,Stop Making Sense2023  Re-release,"$9,685",-86.2%,4,-11,"$2,421","$5,211,069",20,-
2024,5,47,52,Monster,"$9,530",-13.9%,6,-,"$1,588","$431,884",12,Well Go USA Entertainment
2024,5,48,45,The Peasants,"$9,030",-49%,3,+2,"$3,010","$38,250",2,Sony Pictures Classics
2024,5,49,50,Four Daughters,"$8,775",-37.8%,14,+4,$626,"$89,659",15,Kino Lorber
2024,5,50,46,One from the Heart: Reprise2024 Re-release,"$6,727",-59.1%,7,+2,$961,"$41,080",3,Rialto Pictures
2024,5,51,49,The Crime Is Mine,"$6,572",-53.8%,6,-5,"$1,095","$94,272",7,Music Box Films
2024,5,52,54,Dream Scenario,"$5,233",-47.2%,5,-3,"$1,046","$5,734,941",13,A24
2024,5,53,59,Priscilla,"$4,774",-28.8%,8,-2,$596,"$20,958,054",15,A24
2024,5,54,-,Skin Deep,"$4,574",-,1,-,"$4,574","$6,288",1,Kino Lorber
2024,5,55,63,The Oath,"$4,543",+23.2%,4,-,"$1,135","$497,593",9,Freestyle Releasing
2024,5,56,53,Weak Layers,"$3,855",-62.2%,9,-,$428,"$152,632",5,Greenwich Entertainment
2024,5,57,-,Disco Boy,"$3,788",-,1,-,"$3,788","$3,788",1,Big World Pictures
2024,5,58,56,Noryang: Deadly Sea,"$3,523",-60.4%,-,-,-,"$315,245",7,Well Go USA Entertainment
2024,5,59,57,The Pianist2024 Re-release,"$2,989",-63.5%,1,-,"$2,989","$11,184",2,Rialto Pictures
2024,5,60,65,Household Saints2024 Re-release,"$2,135",-36.5%,5,+2,$427,"$23,298",4,Kino Lorber
2024,5,61,66,Inshallah a Boy,"$1,905",-42.3%,1,-1,"$1,905","$23,069",4,Greenwich Entertainment
2024,5,62,69,Pasang: In the Shadow of Everest,"$1,153",-24.5%,1,-,"$1,153","$11,843",3,Slice of Pie
2024,5,63,51,American Star,$848,-93.8%,9,-38,$94,"$14,523",2,IFC Films
2024,5,64,62,The Shift,$822,-80.5%,9,-3,$91,"$12,116,254",10,Angel Studios
2024,5,65,-,La Syndicaliste,$645,-,1,-,$645,"$30,143",10,Kino Lorber
2024,5,66,61,The Seeding,$374,-91.9%,2,-16,$187,"$4,974",2,Magnet Releasing
2024,5,67,-,King Coal,$370,-,-,-,-,"$54,051",26,Fourth Act Film
2024,5,68,71,The Unknown Country,$282,-67.3%,1,-,$282,"$69,172",28,Music Box Films
2024,6,1,-,Bob Marley: One Love,"$17,871,205",-,"3,536",-,"$5,054","$17,871,205",1,Paramount Pictures
2024,6,2,1,Argylle,"$9,434,335",-57.7%,"3,605",-,"$2,617","$31,748,480",2,Universal Pictures International (UPI)
2024,6,3,-,Madame Web,"$8,204,619",-,"4,013",-,"$2,044","$8,204,619",1,Columbia Pictures
2024,6,4,-,Lisa Frankenstein,"$5,634,150",-,"3,144",-,"$1,792","$5,634,150",1,Focus Features
2024,6,5,3,The Beekeeper,"$5,376,651",-24.5%,"3,057",-220,"$1,758","$56,641,503",5,Metro-Goldwyn-Mayer (MGM)
2024,6,6,7,Anyone But You,"$4,873,009",+5%,"2,805",+186,"$1,737","$82,296,912",8,Columbia Pictures
2024,6,7,2,The Chosen: S4 Episodes 1-3,"$4,457,694",-44.4%,"2,142",-138,"$2,081","$13,915,516",3,Fathom Events
2024,6,8,4,Wonka,"$4,294,274",-25.6%,"2,764",-137,"$1,553","$206,421,297",9,Warner Bros.
2024,6,9,5,Migration,"$3,948,550",-22%,"2,684",-146,"$1,471","$111,077,995",8,Universal Pictures
2024,6,10,6,Mean Girls,"$2,690,775",-44.6%,"2,620",-487,"$1,027","$69,940,119",5,Paramount Pictures
2024,6,11,8,American Fiction,"$1,928,508",-42.1%,"1,462",-440,"$1,319","$17,968,990",9,Metro-Goldwyn-Mayer (MGM)
2024,6,12,9,Poor Things,"$1,781,575",-42.4%,"1,300",-650,"$1,370","$30,933,024",10,Searchlight Pictures
2024,6,13,10,Aquaman and the Lost Kingdom,"$1,484,209",-40.1%,"1,363",-379,"$1,088","$122,735,802",8,Warner Bros.
2024,6,14,-,Out of Darkness,"$1,381,289",-,897,-,"$1,539","$1,381,289",1,Bleecker Street Media
2024,6,15,12,Night Swim,"$1,314,355",-28.9%,"1,362",-338,$965,"$30,457,650",6,Universal Pictures International (UPI)
2024,6,16,11,The Boys in the Boat,"$1,098,294",-45.6%,"1,107",-419,$992,"$51,299,985",8,-
2024,6,17,13,The Zone of Interest,"$1,056,665",-39.3%,598,+4,"$1,766","$6,284,012",10,A24
2024,6,18,-,Turning Red,"$810,341",-,"1,560",-,$519,"$810,341",1,Walt Disney Studios Motion Pictures
2024,6,19,-,The Chosen: S4 Episodes 4-6,"$783,380",-,"2,216",-,$353,"$783,380",1,Fathom Events
2024,6,20,-,Dune: Part OneIMAX,"$570,000",-,"2,100",-,$271,"$570,000",1,IMAX
2024,6,21,-,The Taste of Things,"$459,023",-,3,-,"$153,007","$459,023",1,IFC Films
2024,6,22,15,The Iron Claw,"$439,116",-49.1%,425,-209,"$1,033","$34,853,797",8,A24
2024,6,23,14,Origin,"$402,470",-57.4%,348,-283,"$1,156","$4,142,662",10,-
2024,6,24,16,The Boy and the Heron,"$368,580",-42.9%,265,-129,"$1,390","$45,520,326",10,GKIDS
2024,6,25,34,The Teachers' Lounge,"$175,367",+186.5%,277,+242,$633,"$451,252",8,Sony Pictures Releasing
2024,6,26,20,All of Us Strangers,"$173,941",-51.1%,95,-55,"$1,830","$3,816,637",8,Searchlight Pictures
2024,6,27,17,Jungle Bunch: Operation Meltdown,"$159,240",-70.9%,584,-452,$272,"$707,250",2,Viva Pictures
2024,6,28,30,Perfect Days,"$155,151",+84.9%,6,-,"$25,858","$239,059",2,-
2024,6,29,25,Trolls Band Together,"$153,075",-39.3%,221,-72,$692,"$102,706,555",13,Universal Pictures
2024,6,30,22,The Book of Clarence,"$107,655",-61%,190,-41,$566,"$6,096,168",5,Sony Pictures Releasing
2024,6,31,24,The Color Purple,"$106,268",-59.9%,188,-120,$565,"$60,525,125",8,Warner Bros.
2024,6,32,23,The Holdovers,"$102,670",-62.3%,270,-292,$380,"$19,961,705",16,Focus Features
2024,6,33,26,Anatomy of a Fall,"$98,794",-56.8%,150,-70,$658,"$4,624,453",18,-
2024,6,34,-,The Monk and the Gun,"$85,096",-,101,-,$842,"$85,096",2,A Contracorriente Films
2024,6,35,21,Oppenheimer,"$83,585",-73.4%,226,-353,$369,"$328,926,905",30,Universal Pictures
2024,6,36,18,I.S.S.,"$82,856",-80.9%,217,-597,$381,"$6,573,799",4,Bleecker Street Media
2024,6,37,28,Wish,"$69,787",-33.2%,105,-25,$664,"$63,716,041",13,Walt Disney Studios Motion Pictures
2024,6,38,32,Past Lives,"$56,147",-27.4%,103,-82,$545,"$11,331,983",37,A24
2024,6,39,38,Sometimes I Think About Dying,"$46,150",+40.3%,11,-,"$4,195","$122,116",3,Oscilloscope
2024,6,40,29,Ferrari,"$44,746",-47.7%,60,-43,$745,"$18,550,028",8,Neon
2024,6,41,39,The Sweet East,"$44,743",+73.5%,41,+32,"$1,091","$238,711",11,Utopia
2024,6,42,35,Driving Madeleine,"$38,291",-34.8%,46,-15,$832,"$300,646",5,Cohen Media Group
2024,6,43,27,The Promised Land,"$34,205",-82.5%,53,-139,$645,"$229,407",2,Magnolia Pictures
2024,6,44,37,Anselm,"$31,576",-20.6%,14,+2,"$2,255","$455,371",10,Janus Films
2024,6,45,19,Scrambled,"$31,570",-91.9%,214,-548,$147,"$419,487",2,Lionsgate Films
2024,6,46,-,Popular Theory,"$28,602",-,93,-,$307,"$28,602",1,Blue Fox Entertainment
2024,6,47,33,Killers of the Flower Moon,"$25,660",-62.9%,144,-142,$178,"$67,824,648",17,Paramount Pictures
2024,6,48,-,Totem,"$21,329",-,12,-,"$1,777","$63,833",3,Janus Films
2024,6,49,-,Inheritance to Love,"$14,033",-,20,-,$701,"$14,033",1,Purdie Distribution
2024,6,50,-,Ennio,"$12,060",-,1,-,"$12,060","$12,060",1,Music Box Films
2024,6,51,40,Napoleon,"$11,769",-38.2%,15,-4,$784,"$61,524,375",13,Columbia Pictures
2024,6,52,49,Four Daughters,"$11,230",+28%,15,+1,$748,"$100,889",16,Kino Lorber
2024,6,53,42,Hundreds of Beavers,"$10,172",-21.9%,5,-1,"$2,034","$41,431",3,SRH
2024,6,54,48,The Peasants,"$7,732",-14.4%,10,+7,$773,"$45,982",3,Sony Pictures Classics
2024,6,55,45,Bushman2024 Re-release,"$7,638",-26.4%,4,+1,"$1,909","$18,017",2,Kino Lorber
2024,6,56,36,Freud's Last Session,"$7,582",-81.4%,13,-53,$583,"$852,297",8,Sony Pictures Releasing
2024,6,57,44,Inside the Yellow Cocoon Shell,"$6,442",-45.4%,10,+3,$644,"$63,025",4,Kino Lorber
2024,6,58,-,Drift,"$5,245",-,1,-,"$5,245","$5,245",2,Utopia
2024,6,59,-,Menus-Plaisirs - Les Troisgros,"$4,750",-,5,-,$950,"$131,658",13,Zipporah Films
2024,6,60,51,The Crime Is Mine,"$4,140",-37%,4,-2,"$1,035","$98,412",8,Music Box Films
2024,6,61,52,Dream Scenario,"$3,709",-29.1%,3,-2,"$1,236","$5,738,650",14,A24
2024,6,62,-,Sex-Positive,"$3,265",-,20,-,$163,"$3,265",1,Entertainment Squad
2024,6,63,57,Disco Boy,"$3,191",-15.8%,3,+2,"$1,063","$6,979",2,Big World Pictures
2024,6,64,31,Fitting In,"$2,980",-96.4%,17,-168,$175,"$86,875",2,Blue Fox Entertainment
2024,6,65,53,Priscilla,"$2,885",-39.6%,2,-6,"$1,442","$20,960,939",16,A24
2024,6,66,59,The Pianist2024 Re-release,"$2,357",-21.1%,2,+1,"$1,178","$13,541",3,Rialto Pictures
2024,6,67,56,Weak Layers,"$1,813",-53%,5,-4,$362,"$154,445",6,Greenwich Entertainment
2024,6,68,54,Skin Deep,"$1,809",-60.5%,3,+2,$603,"$8,098",2,Kino Lorber
2024,6,69,50,One from the Heart: Reprise2024 Re-release,"$1,657",-75.4%,3,-4,$552,"$42,737",4,Rialto Pictures
2024,6,70,60,Household Saints2024 Re-release,"$1,212",-43.2%,3,-2,$404,"$24,511",5,Kino Lorber
2024,6,71,55,The Oath,"$1,133",-75.1%,1,-3,"$1,133","$498,726",10,Freestyle Releasing
2024,6,72,-,Peeping Tom2023 Re-release,$797,-,1,-,$797,"$36,598",16,N/A
2024,6,73,64,The Shift,$342,-58.4%,2,-7,$171,"$12,116,596",11,Angel Studios
2024,6,74,46,Stop Making Sense2023  Re-release,$241,-97.5%,2,-2,$120,"$5,211,310",21,-
2024,6,75,-,Godard Cinema,$72,-,1,-,$72,"$22,829",9,Kino Lorber
2024,7,1,1,Bob Marley: One Love,"$39,817,491",+122.8%,"3,539",+3,"$11,251","$57,688,696",2,Paramount Pictures
2024,7,2,3,Madame Web,"$21,241,355",+158.9%,"4,013",-,"$5,293","$29,445,974",2,Columbia Pictures
2024,7,3,2,Argylle,"$7,143,105",-24.3%,"3,647",+42,"$1,958","$38,891,585",3,Universal Pictures International (UPI)
2024,7,4,9,Migration,"$6,367,890",+61.3%,"2,455",-229,"$2,593","$117,445,885",9,Universal Pictures
2024,7,5,8,Wonka,"$5,590,532",+30.2%,"2,347",-417,"$2,381","$212,011,829",10,Warner Bros.
2024,7,6,19,The Chosen: S4 Episodes 4-6,"$5,322,126",+579.4%,"2,272",+56,"$2,342","$6,105,506",2,Fathom Events
2024,7,7,5,The Beekeeper,"$4,540,930",-15.5%,"2,557",-500,"$1,775","$61,182,433",6,Metro-Goldwyn-Mayer (MGM)
2024,7,8,6,Anyone But You,"$3,448,045",-29.2%,"2,020",-785,"$1,706","$85,744,957",9,Columbia Pictures
2024,7,9,4,Lisa Frankenstein,"$3,120,280",-44.6%,"3,143",-1,$992,"$8,754,430",2,Focus Features
2024,7,10,-,Land of Bad,"$2,612,155",-,"1,130",-,"$2,311","$2,612,155",1,The Avenue Entertainment
2024,7,11,10,Mean Girls,"$1,742,408",-35.2%,"1,350","-1,270","$1,290","$71,682,527",6,Paramount Pictures
2024,7,12,11,American Fiction,"$1,470,985",-23.7%,803,-659,"$1,831","$19,439,975",10,Metro-Goldwyn-Mayer (MGM)
2024,7,13,12,Poor Things,"$1,399,741",-21.4%,680,-620,"$2,058","$32,332,765",11,Searchlight Pictures
2024,7,14,-,2024 Oscar Nominated Short Films: Documentary,"$1,350,020",-,367,-,"$3,678","$1,350,020",1,ShortsTV
2024,7,15,13,Aquaman and the Lost Kingdom,"$1,055,869",-28.9%,856,-507,"$1,233","$123,791,671",9,Warner Bros.
2024,7,16,21,The Taste of Things,"$1,018,480",+121.9%,505,+502,"$2,016","$1,477,503",2,IFC Films
2024,7,17,15,Night Swim,"$1,005,500",-23.5%,981,-381,"$1,024","$31,463,150",7,Universal Pictures International (UPI)
2024,7,18,17,The Zone of Interest,"$856,332",-19%,443,-155,"$1,933","$7,140,344",11,A24
2024,7,19,16,The Boys in the Boat,"$793,759",-27.7%,586,-521,"$1,354","$52,093,744",9,-
2024,7,20,18,Turning Red,"$588,660",-27.4%,"1,560",-,$377,"$1,399,001",2,Walt Disney Studios Motion Pictures
2024,7,21,14,Out of Darkness,"$535,435",-61.2%,865,-32,$619,"$1,916,724",2,Bleecker Street Media
2024,7,22,28,Perfect Days,"$436,689",+181.5%,34,+28,"$12,843","$675,748",3,-
2024,7,23,24,The Boy and the Heron,"$311,447",-15.5%,175,-90,"$1,779","$45,831,773",11,GKIDS
2024,7,24,-,Amélie2024 Re-release,"$258,926",-,216,-,"$1,198","$404,926",1,Sony Pictures Releasing
2024,7,25,23,Origin,"$249,269",-38.1%,127,-221,"$1,962","$4,391,931",11,-
2024,7,26,29,Trolls Band Together,"$192,850",+26%,158,-63,"$1,220","$102,899,405",14,Universal Pictures
2024,7,27,22,The Iron Claw,"$172,832",-60.6%,146,-279,"$1,183","$35,026,629",9,A24
2024,7,28,26,All of Us Strangers,"$121,323",-30.3%,50,-45,"$2,426","$3,937,960",9,Searchlight Pictures
2024,7,29,37,Wish,"$108,128",+54.9%,75,-30,"$1,441","$63,824,169",14,Walt Disney Studios Motion Pictures
2024,7,30,-,No Way Up,"$107,647",-,78,-,"$1,380","$107,647",1,Nashe Kino
2024,7,31,31,The Color Purple,"$94,066",-11.5%,258,+70,$364,"$60,619,191",9,Warner Bros.
2024,7,32,33,Anatomy of a Fall,"$92,520",-6.4%,105,-45,$881,"$4,716,973",19,-
2024,7,33,32,The Holdovers,"$85,635",-16.6%,168,-102,$509,"$20,047,340",17,Focus Features
2024,7,34,25,The Teachers' Lounge,"$76,759",-56.2%,99,-178,$775,"$528,011",9,Sony Pictures Releasing
2024,7,35,27,Jungle Bunch: Operation Meltdown,"$72,929",-54.2%,109,-475,$669,"$780,179",3,Viva Pictures
2024,7,36,-,God & Country,"$60,464",-,85,-,$711,"$60,464",1,Oscilloscope
2024,7,37,35,Oppenheimer,"$56,465",-32.4%,159,-67,$355,"$328,983,370",31,Universal Pictures
2024,7,38,41,The Sweet East,"$39,373",-12%,35,-6,"$1,124","$278,084",12,Utopia
2024,7,39,30,The Book of Clarence,"$36,645",-66%,41,-149,$893,"$6,132,813",6,Sony Pictures Releasing
2024,7,40,34,The Monk and the Gun,"$34,502",-59.5%,40,-61,$862,"$119,598",3,A Contracorriente Films
2024,7,41,-,Altered Reality,"$30,800",-,112,-,$275,"$30,800",1,K Street Pictures
2024,7,42,47,Killers of the Flower Moon,"$22,897",-10.8%,119,-25,$192,"$67,847,545",18,Paramount Pictures
2024,7,43,-,Nostalghia2024 Re-release,"$22,872",-,1,-,"$22,872","$22,872",1,Kino Lorber
2024,7,44,43,The Promised Land,"$21,862",-36.1%,20,-33,"$1,093","$251,269",3,Magnolia Pictures
2024,7,45,44,Anselm,"$15,630",-50.5%,15,+1,"$1,042","$471,001",11,Janus Films
2024,7,46,49,Inheritance to Love,"$13,272",-5.4%,12,-8,"$1,106","$27,305",2,Purdie Distribution
2024,7,47,54,The Peasants,"$13,056",+68.9%,9,-1,"$1,450","$59,038",4,Sony Pictures Classics
2024,7,48,48,Totem,"$12,563",-41.1%,7,-5,"$1,794","$76,396",4,Janus Films
2024,7,49,56,Freud's Last Session,"$10,987",+44.9%,8,-5,"$1,373","$863,284",9,Sony Pictures Releasing
2024,7,50,50,Ennio,"$10,406",-13.7%,3,+2,"$3,468","$22,466",2,Music Box Films
2024,7,51,39,Sometimes I Think About Dying,"$8,341",-81.9%,16,+5,$521,"$130,457",4,Oscilloscope
2024,7,52,46,Popular Theory,"$7,048",-75.4%,33,-60,$213,"$35,650",2,Blue Fox Entertainment
2024,7,53,53,Hundreds of Beavers,"$5,779",-43.2%,4,-1,"$1,444","$47,210",4,SRH
2024,7,54,52,Four Daughters,"$5,157",-54.1%,10,-5,$515,"$106,046",17,Kino Lorber
2024,7,55,55,Bushman2024 Re-release,"$4,392",-42.5%,3,-1,"$1,464","$22,409",3,Kino Lorber
2024,7,56,45,Scrambled,"$2,387",-92.4%,11,-203,$217,"$421,874",3,Lionsgate Films
2024,7,57,58,Drift,"$2,246",-57.2%,2,+1,"$1,123","$7,491",3,Utopia
2024,7,58,60,The Crime Is Mine,"$2,015",-51.3%,4,-,$503,"$100,427",9,Music Box Films
2024,7,59,57,Inside the Yellow Cocoon Shell,"$1,992",-69.1%,6,-4,$332,"$65,017",5,Kino Lorber
2024,7,60,69,One from the Heart: Reprise2024 Re-release,"$1,558",-6%,1,-2,"$1,558","$44,295",5,Rialto Pictures
2024,7,61,71,The Oath,"$1,526",+34.7%,1,-,"$1,526","$500,252",11,Freestyle Releasing
2024,7,62,63,Disco Boy,"$1,200",-62.4%,1,-2,"$1,200","$8,179",3,Big World Pictures
2024,7,63,73,The Shift,$779,+127.8%,3,+1,$259,"$12,117,375",12,Angel Studios
2024,7,64,-,"My Sailor, My Love",$509,-,1,-,$509,"$88,593",22,Music Box Films
2024,7,65,62,Sex-Positive,$483,-85.2%,3,-17,$161,"$3,748",2,Entertainment Squad
2024,7,66,68,Skin Deep,$464,-74.4%,1,-2,$464,"$8,562",3,Kino Lorber
2024,7,67,64,Fitting In,$445,-85.1%,1,-16,$445,"$87,320",3,Blue Fox Entertainment
2024,7,68,75,Godard Cinema,$429,+495.8%,1,-,$429,"$23,257",10,Kino Lorber
2024,7,69,-,Fremont,$28,-,1,-,$28,"$271,343",26,Music Box Films
2024,8,1,1,Bob Marley: One Love,"$17,652,384",-55.7%,"3,597",+58,"$4,907","$75,341,080",3,Paramount Pictures
2024,8,2,-,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$13,636,455",-,"1,949",-,"$6,996","$13,636,455",1,Sony Pictures Releasing
2024,8,3,-,Ordinary Angels,"$8,711,122",-,"3,020",-,"$2,884","$8,711,122",1,-
2024,8,4,2,Madame Web,"$7,795,542",-63.3%,"4,013",-,"$1,942","$37,241,516",3,Columbia Pictures
2024,8,5,6,The Chosen: S4 Episodes 4-6,"$4,691,822",-11.8%,"2,222",-50,"$2,111","$8,927,147",3,Fathom Events
2024,8,6,3,Argylle,"$3,677,220",-48.5%,"3,060",-587,"$1,201","$42,568,805",4,Universal Pictures International (UPI)
2024,8,7,4,Migration,"$3,510,995",-44.9%,"2,434",-21,"$1,442","$120,956,880",10,Universal Pictures
2024,8,8,-,Drive-Away Dolls,"$3,323,570",-,"2,280",-,"$1,457","$3,323,570",1,Focus Features
2024,8,9,5,Wonka,"$3,013,328",-46.1%,"2,203",-144,"$1,367","$215,025,157",11,Warner Bros.
2024,8,10,7,The Beekeeper,"$2,632,013",-42%,"2,157",-400,"$1,220","$63,814,446",7,Metro-Goldwyn-Mayer (MGM)
2024,8,11,8,Anyone But You,"$1,630,433",-52.7%,"1,455",-565,"$1,120","$87,375,390",10,Columbia Pictures
2024,8,12,10,Land of Bad,"$1,392,577",-46.7%,"1,317",+187,"$1,057","$4,004,732",2,The Avenue Entertainment
2024,8,13,22,Perfect Days,"$1,001,264",+129.3%,253,+219,"$3,957","$1,677,012",4,-
2024,8,14,14,2024 Oscar Nominated Short Films: Documentary,"$840,877",-37.7%,353,-14,"$2,382","$2,190,897",2,ShortsTV
2024,8,15,9,Lisa Frankenstein,"$834,675",-73.2%,"1,366","-1,777",$611,"$9,589,105",3,Focus Features
2024,8,16,13,Poor Things,"$828,827",-40.8%,540,-140,"$1,534","$33,161,592",12,Searchlight Pictures
2024,8,17,12,American Fiction,"$808,054",-45.1%,602,-201,"$1,342","$20,248,029",11,Metro-Goldwyn-Mayer (MGM)
2024,8,18,-,The Chosen: S4 Episodes 7-8,"$764,334",-,"2,203",-,$346,"$764,334",1,Fathom Events
2024,8,19,11,Mean Girls,"$562,687",-67.7%,728,-622,$772,"$72,245,214",7,Paramount Pictures
2024,8,20,17,Night Swim,"$540,310",-46.3%,571,-410,$946,"$32,003,460",8,Universal Pictures International (UPI)
2024,8,21,16,The Taste of Things,"$509,439",-50%,388,-117,"$1,312","$1,986,942",3,IFC Films
2024,8,22,-,Stopmotion,"$507,846",-,384,-,"$1,322","$507,846",1,IFC Films
2024,8,23,-,Article 370,"$480,697",-,161,-,"$2,985","$480,697",1,N/A
2024,8,24,15,Aquaman and the Lost Kingdom,"$452,960",-57.1%,524,-332,$864,"$124,244,631",10,Warner Bros.
